Serial,City,School Name
355,mumbai,Foundree preschool and  daycare
356,mumbai,"Fr. Agnel School - Waliv, Vasai (E)"
357,mumbai,Friends Academy
358,mumbai,G D GOENKA PUBLIC SCHOOL
359,mumbai,G D Somani Memorial School
360,mumbai,"Gandhi Memorial English Primary School - RP Nagar,Dharavi"
361,mumbai,Garodia International Centre for Learning Mumbai
362,mumbai,Gautam Singhania Global School
363,mumbai,"Gautam Singhania Global School, Kalyan"
364,mumbai,GCC International School
365,mumbai,GCC International School
366,mumbai,GES (Goregaon Education Society) English Medium School
367,mumbai,Girton High School
368,mumbai,Global Champs
369,mumbai,Global Champs
370,mumbai,Global Indian International School
371,mumbai,Gloria Convent High School
372,mumbai,Gloria Convent School
373,mumbai,"GM International School - Motilal Nagar I,Goregaon West"
374,mumbai,Gokuldham High School & Jr. College established - Mulund East
375,mumbai,Goldcrest High School
376,mumbai,Goldcrest International School
377,mumbai,Good Shephered Public School
378,mumbai,Gopal Sharma Memorial School
379,mumbai,"Gopal’s Garden High School, Borivali west"
380,mumbai,Gopals Garden High School
381,mumbai,Gopi Birla Memorial School
382,mumbai,Goregaon English School
383,mumbai,GoSchool
384,mumbai,GREEN LAWNS ENGLISH HIGH SCHOOL
385,mumbai,Greenfields
386,mumbai,Greenfingers Global School - Kharghar
387,mumbai,Greenfingers Global School
388,mumbai,Greenlawns High School
389,mumbai,Greenlawns School
390,mumbai,GS Shetty International School
391,mumbai,GS Shetty International School
392,mumbai,Guardian school
393,mumbai,Gundecha Education Academy
394,mumbai,Gundecha Education Academy
395,mumbai,Gundecha Education Academy
396,mumbai,Guru Govind Singh Tegbahadur High School
397,mumbai,Guru Harkishan High School
398,mumbai,GURU NANAK ENGLISH HIGH SCHOOL
399,mumbai,Guru Nanak High School
400,mumbai,GURU TEGBAHADUR PUBLIC HIGH SCHOOL
401,mumbai,GURUKUL ENGLISH HIGH SCHOOL
402,mumbai,Gurukul Excellence International School
403,mumbai,Gurukul Grand Union High School & Jr.College - Ambernath
404,mumbai,Gurukul The Day School
405,mumbai,GURUNANAK ENGLISH HIGH SCHOOL
406,mumbai,GURUNANAK ENGLISH HIGH SCHOOL
407,mumbai,Gyan Kendra Secondary School
408,mumbai,Gynjyothi Pre Primary School
409,mumbai,H. M. W. ENGLISH HIGH SCHOOL
410,mumbai,HANSRAJ MORARJI PUBLIC SCHOOL
411,mumbai,Hansraj Morarji Public School &amp; Junior College
412,mumbai,Happy Minds - Bhandup East
413,mumbai,Happy Minds - Chandivali
414,mumbai,Happy Minds International
415,mumbai,Happy Minds
416,mumbai,Happy Minds
417,mumbai,Harmony International School
418,mumbai,Harmony International School
419,mumbai,Harmony International School
420,mumbai,Harmony Montessori
421,mumbai,Hasanat High School
422,mumbai,HEBRON ENGLISH HIGH SCHOOL
423,mumbai,Hello kids
424,mumbai,Hello Kids
425,mumbai,Hello kids
426,mumbai,Hello kids
427,mumbai,Hello kids
428,mumbai,Hello Kids
429,mumbai,Hello kids
430,mumbai,Hello kids
431,mumbai,Hello Kids
432,mumbai,Hello kids
433,mumbai,Hello Kids
434,mumbai,Hello Kids
435,mumbai,Hello Kids
436,mumbai,Hello Kids
437,mumbai,HFS International
438,mumbai,Hill Spring International School
439,mumbai,Hiranandani Foundation School
440,mumbai,Hiranandani Foundation School
441,mumbai,Hiranandani Foundation School
442,mumbai,HOLY ANGEL HIGH SCHOOL
443,mumbai,Holy Angels' High School & Junior College
444,mumbai,Holy Angels High School &amp; Junior College
445,mumbai,HOLY ANGELS MARTHOMA SCHOOL
446,mumbai,Holy Angels Play School Santacruz East
447,mumbai,Holy Cross Convent High School
448,mumbai,Holy Cross Convent School and Junior College
449,mumbai,Holy Cross Convent School
450,mumbai,Holy Cross Convent School
451,mumbai,Holy Cross High School
452,mumbai,HOLY FAITH ENGLISH SCHOOL - Ambernath
453,mumbai,Holy Family High School and Junior College
454,mumbai,Holy Family School
455,mumbai,HOLY INFANT HIGH SCHOOL
456,mumbai,Holy Name High School
457,mumbai,HOLY PROPHET ENGLISH SCHOOL
458,mumbai,Holy Writ High School And Junior College
459,mumbai,Holy Writ High School &amp; Junior College
460,mumbai,Humpty Dumpty
461,mumbai,Hussain Allana English School
462,mumbai,HVB Global Academy
463,mumbai,HVB Global Academy
464,mumbai,I. E. S. MODERN ENGLISH SCHOOL
465,mumbai,I E S SECONDARY SCHOOL
466,mumbai,I Play I Learn - Borivali
467,mumbai,I Play I Learn
468,mumbai,I Play I Learn
469,mumbai,I Play I Learn
470,mumbai,Ideal English High School
471,mumbai,Ideal English School
472,mumbai,IES King George Secondary School
473,mumbai,IES Manjarli Vidya Mandir - Badlapur
474,mumbai,I.E.S.V.N.Sule Guruji English Medium Secondary School
475,mumbai,Indian Education Society New English School
476,mumbai,Indian Education Society ORION
477,mumbai,Indian Model School And Junior College
478,mumbai,indo scots global school
479,mumbai,Indo Scots Global School
480,mumbai,"Indore Public School, Main Campus"
481,mumbai,INFANT JESUS HIGH SCHOOL
482,mumbai,INFANT JESUS HIGHSCHOOL
483,mumbai,Infant Jesus School
484,mumbai,Infant Jesus School
485,mumbai,INFANT JESUS SCHOOL
486,mumbai,IP Kidz Place
487,mumbai,IP Kidz place
488,mumbai,IQRA International School
489,mumbai,IQRA International School
490,mumbai,"IQRA International School - Bharti Nagar,Mira Road East"
491,mumbai,IQRA International School
492,mumbai,IQRA International School
493,mumbai,IQRA International School
494,mumbai,IQRA International School
495,mumbai,IQRA International School
496,mumbai,Ira Global school
497,mumbai,ISAAC Newton Global School
498,mumbai,J.A. Meghani English School
499,mumbai,Jaipuriar School
500,mumbai,Jamnabai Narsee School
501,mumbai,Jamnabai Narsee School
502,mumbai,Jamnaben Hirachand Ambani School
503,mumbai,Jankidevi Public School.
504,mumbai,Jankidevi Public School
505,mumbai,Jasudben M.L. School
506,mumbai,JAWAHAR VIDYABHAVAN
507,mumbai,Jawahar Vidyalaya High School
508,mumbai,J.B. Ludhani High School
509,mumbai,J.B. Vachha High School For Girls
510,mumbai,"JBCN International School, Oshiwara"
511,mumbai,"JBCN International School Pre-Primary, Parel"
512,mumbai,"JBCN International School, Borivali"
513,mumbai,"JBCN International School, Chembur"
514,mumbai,"JBCN International School, Mulund"
